R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
6.65000000,1.668e-4,-30.2343
6.70000000,1.644e-4,-29.8827
6.75000000,1.619e-4,-29.5352
6.80000000,1.593e-4,-29.1917
6.85000000,1.566e-4,-28.8522
6.90000000,1.539e-4,-28.5165
6.95000000,1.510e-4,-28.1846
7.00000000,1.482e-4,-27.8563
7.05000000,1.452e-4,-27.5317
7.10000000,1.422e-4,-27.2106
7.15000000,1.392e-4,-26.8929
7.20000000,1.362e-4,-26.5785
7.25000000,1.333e-4,-26.2675
7.30000000,1.306e-4,-25.9597
7.35000000,1.281e-4,-25.6550
7.40000000,1.257e-4,-25.3534
7.45000000,1.235e-4,-25.0549
7.50000000,1.215e-4,-24.7593
7.55000000,1.196e-4,-24.4665
7.60000000,1.180e-4,-24.1766
7.65000000,1.165e-4,-23.8895
7.70000000,1.153e-4,-23.6051
7.75000000,1.142e-4,-23.3233
7.80000000,1.133e-4,-23.0442
7.85000000,1.127e-4,-22.7675
7.90000000,1.122e-4,-22.4934
7.95000000,1.119e-4,-22.2217
8.00000000,1.118e-4,-21.9524
8.05000000,1.118e-4,-21.6855
8.10000000,1.120e-4,-21.4208
8.15000000,1.123e-4,-21.1584
8.20000000,1.128e-4,-20.8982
8.25000000,1.134e-4,-20.6402
8.30000000,1.141e-4,-20.3842
8.35000000,1.148e-4,-20.1304
8.40000000,1.156e-4,-19.8786
8.45000000,1.164e-4,-19.6287
8.50000000,1.172e-4,-19.3809
8.55000000,1.180e-4,-19.1349
8.60000000,1.187e-4,-18.8908
8.65000000,1.193e-4,-18.6486
8.70000000,1.198e-4,-18.4081
8.75000000,1.202e-4,-18.1695
8.80000000,1.203e-4,-17.9325
8.85000000,1.201e-4,-17.6973
8.90000000,1.197e-4,-17.4637
8.95000000,1.191e-4,-17.2318
9.00000000,1.185e-4,-17.0014
9.05000000,1.180e-4,-16.7727
9.10000000,1.174e-4,-16.5454
9.15000000,1.169e-4,-16.3197
9.20000000,1.165e-4,-16.0955
9.25000000,1.160e-4,-15.8727
9.30000000,1.156e-4,-15.6513
9.35000000,1.152e-4,-15.4313
9.40000000,1.148e-4,-15.2127
9.45000000,1.145e-4,-14.9955
9.50000000,1.142e-4,-14.7795
9.55000000,1.139e-4,-14.5649
9.60000000,1.137e-4,-14.3515
9.65000000,1.136e-4,-14.1394
9.70000000,1.134e-4,-13.9284
9.75000000,1.134e-4,-13.7187
9.80000000,1.133e-4,-13.5101
9.85000000,1.133e-4,-13.3027
9.90000000,1.134e-4,-13.0964
9.95000000,1.135e-4,-12.8912
10.0000000,1.137e-4,-12.6871
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 500.0
2.00000000,3.962e-4,-105.153
2.05000000,3.863e-4,-102.465
2.10000000,3.770e-4,-99.9025
2.15000000,3.683e-4,-97.4561
2.20000000,3.600e-4,-95.1179
2.25000000,3.522e-4,-92.8809
2.30000000,3.447e-4,-90.7384
2.35000000,3.376e-4,-88.6843
2.40000000,3.308e-4,-86.7132
2.45000000,3.242e-4,-84.8199
2.50000000,3.179e-4,-82.9998
2.55000000,3.119e-4,-81.2486
2.60000000,3.060e-4,-79.5622
2.65000000,3.003e-4,-77.9371
2.70000000,2.948e-4,-76.3698
2.75000000,2.895e-4,-74.8571
2.80000000,2.844e-4,-73.3961
2.85000000,2.794e-4,-71.9842
2.90000000,2.746e-4,-70.6187
2.95000000,2.699e-4,-69.2973
3.00000000,2.654e-4,-68.0177
3.05000000,2.610e-4,-66.7780
3.10000000,2.567e-4,-65.5762
3.15000000,2.526e-4,-64.4105
3.20000000,2.486e-4,-63.2791
3.25000000,2.447e-4,-62.1805
3.30000000,2.409e-4,-61.1133
3.35000000,2.373e-4,-60.0759
3.40000000,2.338e-4,-59.0671
3.45000000,2.303e-4,-58.0857
3.50000000,2.270e-4,-57.1304
3.55000000,2.238e-4,-56.2001
3.60000000,2.207e-4,-55.2938
3.65000000,2.177e-4,-54.4105
3.70000000,2.148e-4,-53.5493
3.75000000,2.120e-4,-52.7093
3.80000000,2.092e-4,-51.8896
3.85000000,2.066e-4,-51.0895
3.90000000,2.040e-4,-50.3082
3.95000000,2.015e-4,-49.5449
4.00000000,1.991e-4,-48.7990
4.05000000,1.968e-4,-48.0699
4.10000000,1.945e-4,-47.3569
4.15000000,1.923e-4,-46.6594
4.20000000,1.902e-4,-45.9770
4.25000000,1.881e-4,-45.3089
4.30000000,1.861e-4,-44.6548
4.35000000,1.842e-4,-44.0142
4.40000000,1.823e-4,-43.3865
4.45000000,1.805e-4,-42.7714
4.50000000,1.787e-4,-42.1685
4.55000000,1.770e-4,-41.5772
4.60000000,1.753e-4,-40.9973
4.65000000,1.737e-4,-40.4284
4.70000000,1.721e-4,-39.8701
4.75000000,1.706e-4,-39.3220
4.80000000,1.691e-4,-38.7839
4.85000000,1.676e-4,-38.2555
4.90000000,1.662e-4,-37.7363
4.95000000,1.648e-4,-37.2263
5.00000000,1.635e-4,-36.7250
5.05000000,1.622e-4,-36.2322
5.10000000,1.609e-4,-35.7477
5.15000000,1.596e-4,-35.2711
5.20000000,1.584e-4,-34.8024
5.25000000,1.572e-4,-34.3412
5.30000000,1.560e-4,-33.8873
5.35000000,1.549e-4,-33.4406
5.40000000,1.538e-4,-33.0008
5.45000000,1.527e-4,-32.5677
5.50000000,1.516e-4,-32.1411
5.55000000,1.505e-4,-31.7209
5.60000000,1.495e-4,-31.3069
5.65000000,1.484e-4,-30.8989
5.70000000,1.474e-4,-30.4967
5.75000000,1.464e-4,-30.1003
5.80000000,1.454e-4,-29.7093
5.85000000,1.444e-4,-29.3238
5.90000000,1.435e-4,-28.9435
5.95000000,1.425e-4,-28.5683
6.00000000,1.416e-4,-28.1982
6.05000000,1.407e-4,-27.8328
6.10000000,1.398e-4,-27.4722
6.15000000,1.388e-4,-27.1162
6.20000000,1.379e-4,-26.7648
6.25000000,1.371e-4,-26.4176
6.30000000,1.362e-4,-26.0748
6.35000000,1.353e-4,-25.7361
6.40000000,1.344e-4,-25.4015
6.45000000,1.336e-4,-25.0709
6.50000000,1.327e-4,-24.7441
6.55000000,1.319e-4,-24.4211
6.60000000,1.311e-4,-24.1018
6.65000000,1.303e-4,-23.7861
6.70000000,1.294e-4,-23.4739
6.75000000,1.286e-4,-23.1651
6.80000000,1.279e-4,-22.8597
6.85000000,1.271e-4,-22.5575
6.90000000,1.263e-4,-22.2585
6.95000000,1.255e-4,-21.9627
7.00000000,1.248e-4,-21.6699
7.05000000,1.241e-4,-21.3801
7.10000000,1.233e-4,-21.0931
7.15000000,1.226e-4,-20.8091
7.20000000,1.220e-4,-20.5278
7.25000000,1.213e-4,-20.2492
7.30000000,1.206e-4,-19.9733
7.35000000,1.200e-4,-19.6999
7.40000000,1.194e-4,-19.4291
7.45000000,1.188e-4,-19.1608
7.50000000,1.182e-4,-18.8949
7.55000000,1.177e-4,-18.6314
7.60000000,1.172e-4,-18.3702
7.65000000,1.167e-4,-18.1113
7.70000000,1.162e-4,-17.8545
7.75000000,1.157e-4,-17.6000
7.80000000,1.153e-4,-17.3476
7.85000000,1.148e-4,-17.0972
7.90000000,1.144e-4,-16.8489
7.95000000,1.140e-4,-16.6026
8.00000000,1.137e-4,-16.3582
8.05000000,1.134e-4,-16.1157
8.10000000,1.131e-4,-15.8751
8.15000000,1.128e-4,-15.6363
8.20000000,1.125e-4,-15.3992
8.25000000,1.123e-4,-15.1640
8.30000000,1.121e-4,-14.9304
8.35000000,1.119e-4,-14.6985
8.40000000,1.117e-4,-14.4682
8.45000000,1.115e-4,-14.2395
8.50000000,1.114e-4,-14.0124
8.55000000,1.113e-4,-13.7868
8.60000000,1.112e-4,-13.5627
8.65000000,1.112e-4,-13.3401
8.70000000,1.112e-4,-13.1189
8.75000000,1.111e-4,-12.8991
8.80000000,1.111e-4,-12.6806
8.85000000,1.112e-4,-12.4635
8.90000000,1.112e-4,-12.2478
8.95000000,1.112e-4,-12.0333
9.00000000,1.113e-4,-11.8200
9.05000000,1.114e-4,-11.6080
9.10000000,1.115e-4,-11.3972
9.15000000,1.116e-4,-11.1876
9.20000000,1.117e-4,-10.9791
9.25000000,1.118e-4,-10.7717
9.30000000,1.119e-4,-10.5654
9.35000000,1.120e-4,-10.3602
9.40000000,1.121e-4,-10.1560
9.45000000,1.122e-4,-9.95288
9.50000000,1.122e-4,-9.75074
9.55000000,1.123e-4,-9.54957
9.60000000,1.123e-4,-9.34936
9.65000000,1.122e-4,-9.15008
9.70000000,1.122e-4,-8.95171
9.75000000,1.120e-4,-8.75423
9.80000000,1.119e-4,-8.55761
9.85000000,1.116e-4,-8.36184
9.90000000,1.113e-4,-8.16689
9.95000000,1.109e-4,-7.97274
10.0000000,1.104e-4,-7.77938
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 600.0
2.00000000,3.432e-4,-90.5260
2.05000000,3.360e-4,-88.1893
2.10000000,3.286e-4,-85.9607
2.15000000,3.213e-4,-83.8327
2.20000000,3.140e-4,-81.7983
2.25000000,3.070e-4,-79.8514
2.30000000,3.001e-4,-77.9863
2.35000000,2.936e-4,-76.1977
2.40000000,2.873e-4,-74.4808
2.45000000,2.813e-4,-72.8312
2.50000000,2.756e-4,-71.2450
2.55000000,2.702e-4,-69.7183
2.60000000,2.650e-4,-68.2477
2.65000000,2.601e-4,-66.8301
2.70000000,2.554e-4,-65.4624
2.75000000,2.509e-4,-64.1421
2.80000000,2.465e-4,-62.8664
2.85000000,2.424e-4,-61.6332
2.90000000,2.384e-4,-60.4401
2.95000000,2.345e-4,-59.2851
3.00000000,2.308e-4,-58.1663
3.05000000,2.272e-4,-57.0820
3.10000000,2.237e-4,-56.0304
3.15000000,2.203e-4,-55.0100
3.20000000,2.170e-4,-54.0194
3.25000000,2.137e-4,-53.0571
3.30000000,2.106e-4,-52.1218
3.35000000,2.075e-4,-51.2124
3.40000000,2.045e-4,-50.3277
3.45000000,2.016e-4,-49.4666
3.50000000,1.988e-4,-48.6281
3.55000000,1.960e-4,-47.8113
3.60000000,1.933e-4,-47.0152
3.65000000,1.907e-4,-46.2389
3.70000000,1.881e-4,-45.4817
3.75000000,1.856e-4,-44.7429
3.80000000,1.831e-4,-44.0216
3.85000000,1.808e-4,-43.3171
3.90000000,1.785e-4,-42.6289
3.95000000,1.762e-4,-41.9564
4.00000000,1.741e-4,-41.2988
4.05000000,1.720e-4,-40.6557
4.10000000,1.699e-4,-40.0265
4.15000000,1.680e-4,-39.4107
4.20000000,1.660e-4,-38.8078
4.25000000,1.642e-4,-38.2175
4.30000000,1.624e-4,-37.6391
4.35000000,1.607e-4,-37.0724
4.40000000,1.590e-4,-36.5168
4.45000000,1.574e-4,-35.9721
4.50000000,1.558e-4,-35.4379
4.55000000,1.543e-4,-34.9137
4.60000000,1.529e-4,-34.3993
4.65000000,1.515e-4,-33.8944
4.70000000,1.501e-4,-33.3986
4.75000000,1.488e-4,-32.9117
4.80000000,1.475e-4,-32.4334
4.85000000,1.463e-4,-31.9633
4.90000000,1.451e-4,-31.5013
4.95000000,1.440e-4,-31.0471
5.00000000,1.429e-4,-30.6004
5.05000000,1.418e-4,-30.1610
5.10000000,1.408e-4,-29.7288
5.15000000,1.398e-4,-29.3034
5.20000000,1.388e-4,-28.8847
5.25000000,1.378e-4,-28.4726
5.30000000,1.369e-4,-28.0667
5.35000000,1.360e-4,-27.6669
5.40000000,1.351e-4,-27.2731
5.45000000,1.343e-4,-26.8850
5.50000000,1.334e-4,-26.5025
5.55000000,1.326e-4,-26.1255
5.60000000,1.318e-4,-25.7538
5.65000000,1.310e-4,-25.3873
5.70000000,1.303e-4,-25.0258
5.75000000,1.295e-4,-24.6691
5.80000000,1.288e-4,-24.3172
5.85000000,1.280e-4,-23.9699
5.90000000,1.273e-4,-23.6271
5.95000000,1.266e-4,-23.2886
6.00000000,1.260e-4,-22.9544
6.05000000,1.253e-4,-22.6244
6.10000000,1.246e-4,-22.2984
6.15000000,1.240e-4,-21.9763
6.20000000,1.233e-4,-21.6581
6.25000000,1.227e-4,-21.3436
6.30000000,1.221e-4,-21.0327
6.35000000,1.215e-4,-20.7254
6.40000000,1.209e-4,-20.4215
6.45000000,1.203e-4,-20.1211
6.50000000,1.198e-4,-19.8238
6.55000000,1.192e-4,-19.5298
6.60000000,1.187e-4,-19.2390
6.65000000,1.182e-4,-18.9511
6.70000000,1.176e-4,-18.6663
6.75000000,1.172e-4,-18.3843
6.80000000,1.167e-4,-18.1052
6.85000000,1.162e-4,-17.8288
6.90000000,1.158e-4,-17.5551
6.95000000,1.153e-4,-17.2841
7.00000000,1.149e-4,-17.0156
7.05000000,1.145e-4,-16.7496
7.10000000,1.141e-4,-16.4861
7.15000000,1.137e-4,-16.2249
7.20000000,1.134e-4,-15.9661
7.25000000,1.130e-4,-15.7095
7.30000000,1.127e-4,-15.4552
7.35000000,1.124e-4,-15.2030
7.40000000,1.121e-4,-14.9530
7.45000000,1.118e-4,-14.7050
7.50000000,1.115e-4,-14.4590
7.55000000,1.113e-4,-14.2150
7.60000000,1.111e-4,-13.9730
7.65000000,1.109e-4,-13.7328
7.70000000,1.107e-4,-13.4944
7.75000000,1.105e-4,-13.2578
7.80000000,1.103e-4,-13.0230
7.85000000,1.102e-4,-12.7899
7.90000000,1.101e-4,-12.5584
7.95000000,1.100e-4,-12.3286
8.00000000,1.099e-4,-12.1004
8.05000000,1.099e-4,-11.8737
8.10000000,1.098e-4,-11.6485
8.15000000,1.098e-4,-11.4248
8.20000000,1.097e-4,-11.2025
8.25000000,1.097e-4,-10.9817
8.30000000,1.097e-4,-10.7622
8.35000000,1.097e-4,-10.5441
8.40000000,1.098e-4,-10.3272
8.45000000,1.098e-4,-10.1117
8.50000000,1.098e-4,-9.89735
8.55000000,1.098e-4,-9.68425
8.60000000,1.099e-4,-9.47234
8.65000000,1.099e-4,-9.26157
8.70000000,1.099e-4,-9.05193
8.75000000,1.100e-4,-8.84339
8.80000000,1.100e-4,-8.63592
8.85000000,1.100e-4,-8.42948
8.90000000,1.100e-4,-8.22406
8.95000000,1.101e-4,-8.01963
9.00000000,1.100e-4,-7.81615
9.05000000,1.100e-4,-7.61362
9.10000000,1.100e-4,-7.41199
9.15000000,1.100e-4,-7.21124
9.20000000,1.100e-4,-7.01136
9.25000000,1.099e-4,-6.81231
9.30000000,1.099e-4,-6.61407
9.35000000,1.100e-4,-6.41663
9.40000000,1.100e-4,-6.21994
9.45000000,1.101e-4,-6.02400
9.50000000,1.102e-4,-5.82879
9.55000000,1.103e-4,-5.63426
9.60000000,1.105e-4,-5.44042
9.65000000,1.108e-4,-5.24723
9.70000000,1.111e-4,-5.05467
9.75000000,1.115e-4,-4.86273
9.80000000,1.119e-4,-4.67138
9.85000000,1.125e-4,-4.48059
9.90000000,1.132e-4,-4.29036
9.95000000,1.140e-4,-4.10066
10.0000000,1.149e-4,-3.91147
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 700.0
2.00000000,3.028e-4,-79.3446
2.05000000,3.091e-4,-77.2751
2.10000000,3.110e-4,-75.3007
2.15000000,3.095e-4,-73.4150
2.20000000,3.056e-4,-71.6119
2.25000000,2.999e-4,-69.8857
2.30000000,2.929e-4,-68.2316
2.35000000,2.851e-4,-66.6449
2.40000000,2.768e-4,-65.1214
2.45000000,2.684e-4,-63.6572
2.50000000,2.599e-4,-62.2487
2.55000000,2.516e-4,-60.8927
2.60000000,2.436e-4,-59.5862
2.65000000,2.360e-4,-58.3262
2.70000000,2.287e-4,-57.1103
2.75000000,2.220e-4,-55.9360
2.80000000,2.156e-4,-54.8011
2.85000000,2.098e-4,-53.7035
2.90000000,2.044e-4,-52.6413
2.95000000,1.994e-4,-51.6127
3.00000000,1.949e-4,-50.6159
3.05000000,1.908e-4,-49.6495
3.10000000,1.870e-4,-48.7119
3.15000000,1.836e-4,-47.8017
3.20000000,1.804e-4,-46.9177
3.25000000,1.776e-4,-46.0587
3.30000000,1.750e-4,-45.2235
3.35000000,1.726e-4,-44.4110
3.40000000,1.705e-4,-43.6203
3.45000000,1.685e-4,-42.8503
3.50000000,1.667e-4,-42.1002
3.55000000,1.650e-4,-41.3692
3.60000000,1.634e-4,-40.6564
3.65000000,1.619e-4,-39.9611
3.70000000,1.605e-4,-39.2826
3.75000000,1.591e-4,-38.6201
3.80000000,1.579e-4,-37.9731
3.85000000,1.566e-4,-37.3409
3.90000000,1.554e-4,-36.7231
3.95000000,1.543e-4,-36.1189
4.00000000,1.531e-4,-35.5279
4.05000000,1.520e-4,-34.9496
4.10000000,1.509e-4,-34.3836
4.15000000,1.498e-4,-33.8294
4.20000000,1.487e-4,-33.2865
4.25000000,1.476e-4,-32.7545
4.30000000,1.465e-4,-32.2331
4.35000000,1.454e-4,-31.7219
4.40000000,1.443e-4,-31.2206
4.45000000,1.433e-4,-30.7287
4.50000000,1.422e-4,-30.2460
4.55000000,1.411e-4,-29.7722
4.60000000,1.401e-4,-29.3069
4.65000000,1.390e-4,-28.8500
4.70000000,1.379e-4,-28.4010
4.75000000,1.369e-4,-27.9599
4.80000000,1.359e-4,-27.5262
4.85000000,1.348e-4,-27.0998
4.90000000,1.338e-4,-26.6804
4.95000000,1.328e-4,-26.2679
5.00000000,1.318e-4,-25.8619
5.05000000,1.308e-4,-25.4624
5.10000000,1.299e-4,-25.0691
5.15000000,1.290e-4,-24.6817
5.20000000,1.280e-4,-24.3003
5.25000000,1.271e-4,-23.9245
5.30000000,1.262e-4,-23.5542
5.35000000,1.254e-4,-23.1892
5.40000000,1.245e-4,-22.8295
5.45000000,1.237e-4,-22.4747
5.50000000,1.229e-4,-22.1249
5.55000000,1.221e-4,-21.7798
5.60000000,1.214e-4,-21.4393
5.65000000,1.206e-4,-21.1033
5.70000000,1.199e-4,-20.7716
5.75000000,1.192e-4,-20.4442
5.80000000,1.185e-4,-20.1209
5.85000000,1.178e-4,-19.8016
5.90000000,1.172e-4,-19.4862
5.95000000,1.165e-4,-19.1746
6.00000000,1.157e-4,-18.8667
6.05000000,1.150e-4,-18.5624
6.10000000,1.143e-4,-18.2616
6.15000000,1.135e-4,-17.9642
6.20000000,1.127e-4,-17.6701
6.25000000,1.120e-4,-17.3792
6.30000000,1.112e-4,-17.0914
6.35000000,1.105e-4,-16.8067
6.40000000,1.098e-4,-16.5250
6.45000000,1.092e-4,-16.2462
6.50000000,1.085e-4,-15.9702
6.55000000,1.080e-4,-15.6970
6.60000000,1.075e-4,-15.4264
6.65000000,1.070e-4,-15.1584
6.70000000,1.066e-4,-14.8930
6.75000000,1.063e-4,-14.6301
6.80000000,1.061e-4,-14.3695
6.85000000,1.060e-4,-14.1113
6.90000000,1.059e-4,-13.8555
6.95000000,1.059e-4,-13.6018
7.00000000,1.060e-4,-13.3503
7.05000000,1.062e-4,-13.1010
7.10000000,1.064e-4,-12.8537
7.15000000,1.067e-4,-12.6084
7.20000000,1.071e-4,-12.3651
7.25000000,1.075e-4,-12.1237
7.30000000,1.080e-4,-11.8842
7.35000000,1.085e-4,-11.6464
7.40000000,1.090e-4,-11.4105
7.45000000,1.095e-4,-11.1763
7.50000000,1.101e-4,-10.9437
7.55000000,1.106e-4,-10.7128
7.60000000,1.110e-4,-10.4835
7.65000000,1.115e-4,-10.2557
7.70000000,1.119e-4,-10.0294
7.75000000,1.123e-4,-9.80466
7.80000000,1.127e-4,-9.58131
7.85000000,1.130e-4,-9.35935
7.90000000,1.133e-4,-9.13875
7.95000000,1.135e-4,-8.91947
8.00000000,1.137e-4,-8.70148
8.05000000,1.138e-4,-8.48473
8.10000000,1.139e-4,-8.26920
8.15000000,1.139e-4,-8.05486
8.20000000,1.138e-4,-7.84166
8.25000000,1.137e-4,-7.62958
8.30000000,1.136e-4,-7.41858
8.35000000,1.133e-4,-7.20863
8.40000000,1.130e-4,-6.99971
8.45000000,1.127e-4,-6.79178
8.50000000,1.123e-4,-6.58481
8.55000000,1.118e-4,-6.37878
8.60000000,1.113e-4,-6.17365
8.65000000,1.108e-4,-5.96940
8.70000000,1.102e-4,-5.76599
8.75000000,1.096e-4,-5.56340
8.80000000,1.089e-4,-5.36161
8.85000000,1.082e-4,-5.16058
8.90000000,1.075e-4,-4.96030
8.95000000,1.068e-4,-4.76073
9.00000000,1.061e-4,-4.56185
9.05000000,1.054e-4,-4.36363
9.10000000,1.048e-4,-4.16605
9.15000000,1.042e-4,-3.96908
9.20000000,1.037e-4,-3.77270
9.25000000,1.033e-4,-3.57689
9.30000000,1.030e-4,-3.38162
9.35000000,1.028e-4,-3.18687
9.40000000,1.028e-4,-2.99261
9.45000000,1.029e-4,-2.79882
9.50000000,1.033e-4,-2.60548
9.55000000,1.039e-4,-2.41257
9.60000000,1.048e-4,-2.22005
9.65000000,1.060e-4,-2.02792
9.70000000,1.076e-4,-1.83615
9.75000000,1.095e-4,-1.64471
9.80000000,1.119e-4,-1.45358
9.85000000,1.147e-4,-1.26275
9.90000000,1.181e-4,-1.07218
9.95000000,1.220e-4,-0.88187
10.0000000,1.265e-4,-0.69178
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 800.0
2.00000000,2.712e-4,-70.5139
2.05000000,2.684e-4,-68.6545
2.10000000,2.638e-4,-66.8802
2.15000000,2.581e-4,-65.1850
2.20000000,2.518e-4,-63.5636
2.25000000,2.451e-4,-62.0111
2.30000000,2.383e-4,-60.5228
2.35000000,2.318e-4,-59.0948
2.40000000,2.255e-4,-57.7232
2.45000000,2.197e-4,-56.4046
2.50000000,2.143e-4,-55.1358
2.55000000,2.094e-4,-53.9138
2.60000000,2.050e-4,-52.7360
2.65000000,2.011e-4,-51.5999
2.70000000,1.977e-4,-50.5031
2.75000000,1.947e-4,-49.4434
2.80000000,1.922e-4,-48.4189
2.85000000,1.900e-4,-47.4278
2.90000000,1.882e-4,-46.4682
2.95000000,1.867e-4,-45.5386
3.00000000,1.854e-4,-44.6375
3.05000000,1.844e-4,-43.7634
3.10000000,1.835e-4,-42.9151
3.15000000,1.827e-4,-42.0913
3.20000000,1.821e-4,-41.2908
3.25000000,1.815e-4,-40.5126
3.30000000,1.809e-4,-39.7557
3.35000000,1.804e-4,-39.0191
3.40000000,1.798e-4,-38.3018
3.45000000,1.792e-4,-37.6031
3.50000000,1.786e-4,-36.9222
3.55000000,1.778e-4,-36.2582
3.60000000,1.770e-4,-35.6105
3.65000000,1.762e-4,-34.9784
3.70000000,1.752e-4,-34.3612
3.75000000,1.741e-4,-33.7584
3.80000000,1.729e-4,-33.1694
3.85000000,1.715e-4,-32.5935
3.90000000,1.701e-4,-32.0305
3.95000000,1.686e-4,-31.4796
4.00000000,1.669e-4,-30.9405
4.05000000,1.651e-4,-30.4127
4.10000000,1.633e-4,-29.8958
4.15000000,1.613e-4,-29.3893
4.20000000,1.592e-4,-28.8930
4.25000000,1.571e-4,-28.4065
4.30000000,1.549e-4,-27.9293
4.35000000,1.526e-4,-27.4612
4.40000000,1.502e-4,-27.0019
4.45000000,1.479e-4,-26.5510
4.50000000,1.454e-4,-26.1082
4.55000000,1.430e-4,-25.6733
4.60000000,1.405e-4,-25.2461
4.65000000,1.380e-4,-24.8262
4.70000000,1.355e-4,-24.4134
4.75000000,1.330e-4,-24.0075
4.80000000,1.305e-4,-23.6083
4.85000000,1.281e-4,-23.2155
4.90000000,1.257e-4,-22.8290
4.95000000,1.233e-4,-22.4485
5.00000000,1.210e-4,-22.0738
5.05000000,1.188e-4,-21.7048
5.10000000,1.166e-4,-21.3413
5.15000000,1.145e-4,-20.9832
5.20000000,1.125e-4,-20.6302
5.25000000,1.106e-4,-20.2822
5.30000000,1.087e-4,-19.9391
5.35000000,1.070e-4,-19.6007
5.40000000,1.054e-4,-19.2669
5.45000000,1.039e-4,-18.9375
5.50000000,1.026e-4,-18.6124
5.55000000,1.013e-4,-18.2915
5.60000000,1.002e-4,-17.9746
5.65000000,9.919e-5,-17.6617
5.70000000,9.831e-5,-17.3526
5.75000000,9.757e-5,-17.0473
5.80000000,9.696e-5,-16.7456
5.85000000,9.648e-5,-16.4473
5.90000000,9.612e-5,-16.1525
5.95000000,9.590e-5,-15.8610
6.00000000,9.579e-5,-15.5728
6.05000000,9.582e-5,-15.2876
6.10000000,9.596e-5,-15.0056
6.15000000,9.622e-5,-14.7264
6.20000000,9.659e-5,-14.4502
6.25000000,9.707e-5,-14.1768
6.30000000,9.765e-5,-13.9061
6.35000000,9.833e-5,-13.6380
6.40000000,9.910e-5,-13.3725
6.45000000,9.996e-5,-13.1096
6.50000000,1.009e-4,-12.8490
6.55000000,1.019e-4,-12.5909
6.60000000,1.030e-4,-12.3350
6.65000000,1.041e-4,-12.0814
6.70000000,1.053e-4,-11.8300
6.75000000,1.065e-4,-11.5807
6.80000000,1.077e-4,-11.3334
6.85000000,1.090e-4,-11.0882
6.90000000,1.103e-4,-10.8449
6.95000000,1.117e-4,-10.6035
7.00000000,1.132e-4,-10.3640
7.05000000,1.147e-4,-10.1263
7.10000000,1.162e-4,-9.89026
7.15000000,1.178e-4,-9.65596
7.20000000,1.194e-4,-9.42331
7.25000000,1.210e-4,-9.19226
7.30000000,1.225e-4,-8.96277
7.35000000,1.241e-4,-8.73479
7.40000000,1.257e-4,-8.50827
7.45000000,1.272e-4,-8.28318
7.50000000,1.287e-4,-8.05948
7.55000000,1.301e-4,-7.83711
7.60000000,1.315e-4,-7.61606
7.65000000,1.328e-4,-7.39626
7.70000000,1.340e-4,-7.17769
7.75000000,1.351e-4,-6.96031
7.80000000,1.361e-4,-6.74407
7.85000000,1.370e-4,-6.52896
7.90000000,1.378e-4,-6.31492
7.95000000,1.384e-4,-6.10192
8.00000000,1.389e-4,-5.88994
8.05000000,1.392e-4,-5.67893
8.10000000,1.394e-4,-5.46886
8.15000000,1.393e-4,-5.25970
8.20000000,1.391e-4,-5.05142
8.25000000,1.388e-4,-4.84398
8.30000000,1.382e-4,-4.63736
8.35000000,1.374e-4,-4.43153
8.40000000,1.364e-4,-4.22644
8.45000000,1.352e-4,-4.02208
8.50000000,1.338e-4,-3.81841
8.55000000,1.322e-4,-3.61541
8.60000000,1.304e-4,-3.41304
8.65000000,1.283e-4,-3.21128
8.70000000,1.261e-4,-3.01010
8.75000000,1.236e-4,-2.80947
8.80000000,1.209e-4,-2.60936
8.85000000,1.181e-4,-2.40975
8.90000000,1.153e-4,-2.21060
8.95000000,1.125e-4,-2.01190
9.00000000,1.097e-4,-1.81361
9.05000000,1.070e-4,-1.61571
9.10000000,1.044e-4,-1.41817
9.15000000,1.020e-4,-1.22097
9.20000000,9.980e-5,-1.02408
9.25000000,9.785e-5,-0.82748
9.30000000,9.620e-5,-0.63113
9.35000000,9.493e-5,-0.43501
9.40000000,9.408e-5,-0.23910
9.45000000,9.373e-5,-0.04338
9.50000000,9.394e-5,0.152192
9.55000000,9.479e-5,0.347631
9.60000000,9.635e-5,0.542963
9.65000000,9.871e-5,0.738214
9.70000000,1.019e-4,0.933410
9.75000000,1.062e-4,1.128575
9.80000000,1.115e-4,1.323736
9.85000000,1.179e-4,1.518916
9.90000000,1.257e-4,1.714141
9.95000000,1.348e-4,1.909438
10.0000000,1.455e-4,2.104830
R 50.00000
Frequency (GHz),RE[Z11],IM[Z11]
WIDC = 900.0
2.00000000,2.457e-4,-63.3673
2.05000000,2.477e-4,-61.6772
2.10000000,2.457e-4,-60.0639
2.15000000,2.408e-4,-58.5222
2.20000000,2.341e-4,-57.0471
2.25000000,2.265e-4,-55.6343
2.30000000,2.184e-4,-54.2795
2.35000000,2.104e-4,-52.9792
2.40000000,2.027e-4,-51.7298
2.45000000,1.956e-4,-50.5283
2.50000000,1.893e-4,-49.3718
2.55000000,1.838e-4,-48.2577
2.60000000,1.792e-4,-47.1834
